"product_id","product_name_lenght","product_description_lenght","product_photos_qty","product_weight_g","product_length_cm","product_height_cm","product_width_cm","product_category_name"
"b7a60a397d4efd05c1b5d398fb9f9097",50,1534,6,22050,40,42,36,"agro_industry_and_commerce"
"3e3f442db862cb6fe99389a41b7acb84",60,638,6,12800,67,57,30,"agro_industry_and_commerce"
"ea1d59339533cb7f68f0319501d8e4d4",60,876,2,9900,29,49,36,"agro_industry_and_commerce"
"423a6644f0aa529e8828ff1f91003690",54,2352,3,5800,30,30,20,"agro_industry_and_commerce"
"672e757f331900b9deea127a2a7b79fd",39,383,1,2650,30,30,20,"agro_industry_and_commerce"
"07f01b6fcacc1b187a71e5074199db2d",39,430,1,16400,63,66,56,"agro_industry_and_commerce"
"c75a6578b6475cf760d40cb340b3971c",55,435,3,9950,65,26,26,"agro_industry_and_commerce"
"0a0adf0de1769b2970f3096d0b5abfb7",47,418,1,13325,41,42,47,"agro_industry_and_commerce"
"a79e27ad902bfc67386ea63ed1ef7a08",56,93,1,100,16,5,11,"agro_industry_and_commerce"
"11250b0d4b709fee92441c5f34122aed",28,388,2,3000,30,30,20,"agro_industry_and_commerce"
"5fb0955cb683eb6f65a1f613e502eef5",36,471,1,4000,50,30,40,"agro_industry_and_commerce"
"a6bfd5412c292e6ab465ba7d7f794727",59,498,2,200,16,2,20,"agro_industry_and_commerce"
"980ecbcc15fe174ec1e5757c4d75b1bf",48,157,1,250,17,3,10,"agro_industry_and_commerce"
"a0fe1efb855f3e786f0650268cd77f44",35,380,1,125,20,4,13,"agro_industry_and_commerce"
"cf4f52b8f3c906f11d98e8866614f140",54,365,2,600,30,15,15,"agro_industry_and_commerce"
"aa0c047aa75f7c8e437acd62601055fe",34,397,1,533,27,14,17,"food"
"fd0c762860528d119344e1377b574fc5",45,723,1,317,16,10,11,"food"
"53d71d8d9d6878f6f0b9fe0ed79445d5",49,217,1,375,20,12,15,"food"
"80e7f6c61346d1feb1bca71585ac62e4",55,338,2,500,17,12,17,"food"
"21b4d9c7183dd6f20f584f35c09bd361",34,90,1,808,18,11,13,"food"
"3d7e90a312a036ed4ae2ecd2a459a629",59,913,1,200,16,16,14,"food"
"d493f5a208254fe85b3ab55d898461a1",60,3725,6,675,28,15,15,"food"
"0152cb427657428c06633fce6d721da4",57,606,3,150,22,4,17,"food"
"92857a2b590adeae8d5992511dc197e9",44,1373,1,1358,27,21,20,"food"
"8f9371c0e8042d93813647b53c195ddb",37,796,2,1068,26,16,27,"food"
"99deb331428f8424b5400076161c3193",45,1430,1,450,18,17,12,"food"
"5739177f0e1a8c060da43932f5a447a8",38,379,4,525,27,13,35,"food"
"fd0dc040197a6ac42d115243a8cee1dc",34,1257,1,139,18,10,13,"food"
"d1dae3e210576b5698e7847df9c3e1a3",43,975,1,1000,16,20,16,"food"
"24f5af2b789d02450459312d48fc840f",56,863,1,575,17,7,14,"food"
"861857117917aaa99611defcc0d514cd",57,2585,7,4450,28,14,28,"food"
"4e2e67ecbe3c5465a6c3c76db8acba86",53,869,1,300,16,12,15,"food"
"30c7af0662527b13c438094b5adeae88",56,2601,7,2717,25,16,17,"food"
"1e114096c8024159923dcf2c857e4ca4",57,606,3,150,22,4,17,"food"
"ed2067a9c1f79553088a3c67b99a9f97",52,919,1,750,16,12,15,"food"
"1900bad8eae4042922f8487abb59e3c5",58,3719,6,600,28,15,15,"food"
"378bb6601c068c842ca65be6c5e45ccd",40,911,1,1700,16,18,15,"food"
"f0c1c1d5ec61ce4c4846abd4283631df",16,3139,1,125,16,8,11,"food"
"722a703d9aadc6e807aed5512eb447c7",23,936,1,500,23,23,17,"food"
"3a4dfe5f744b6f8727a27241cf1d97bc",26,993,1,400,19,19,14,"food"
"ab1106e227a745836a0dc83b374e2575",52,869,1,325,16,9,13,"food"
"89321f94e35fc6d7903d36f74e351d40",59,982,1,150,17,13,13,"food"
"45a6892a98568b366b52ffeec9a03691",58,1195,1,229,18,10,16,"food"
"58816ce2ec224ea03aff8abe045f8407",60,730,5,1050,23,15,21,"food"
"33202a8e7a645388c41ed714203d7131",45,911,1,3350,20,21,20,"food"
"3197fca73726f51df11ef871f9c30213",51,462,3,238,17,12,15,"food"
"432357855585cf634fc9923523ce5e4a",54,1887,5,1150,16,14,16,"food"
"092be1e8336fc404c57bd5970d056886",53,869,1,750,16,12,15,"food"
"4715eb4e21b1833327567e8c62ce5790",33,2787,1,150,16,9,11,"food"
"3d0552899dbe2f89cff6197aab33fe99",34,826,1,1084,26,18,27,"food"
"91f55803717622c017fb93898242a592",24,55,1,5150,26,28,24,"food"
"a961143b53bf771400f1bc6bdf396e8d",37,27,1,300,21,11,13,"food"
"875db2194361bf1a20064ccd2c697532",58,2576,6,930,28,12,12,"food"
"cd59f488cef311feb633141ad1e8563d",40,911,1,450,16,14,14,"food"
"8f7a3322e1abfed89ac080b0f7364779",25,283,1,1403,29,36,33,"food"
"8e4b7c036587bfb512f6766ea6281b03",49,186,1,1183,33,7,29,"food"
"ca4fe13c336a5399a892b4afabb17abb",54,314,1,1650,24,24,24,"food_drink"
"70fe9b99d340c044c0316517b7b2ed8c",49,718,1,250,16,16,16,"food_drink"
"ec96b7b4e1401281edb9465d0d689cae",36,420,1,1200,16,23,13,"food_drink"
"7384a19bf6df5d6139bc52286cd26c2e",46,553,2,9550,57,40,25,"food_drink"
"7643f9ef2cbf1bd4202b0b7dcc500cad",24,424,1,300,20,8,16,"food_drink"
"2942938c3d7cfb0161ad93b80cd60b01",37,99,1,1750,32,16,18,"food_drink"
"0ab66f8ffee46568f8a8fba7c300ae50",25,369,2,200,20,8,16,"food_drink"
"bcfc64e7adc6e1ce2030d71e1af79a3e",48,587,1,200,16,11,12,"food_drink"
"924260f2993f33c639e6226173f07e8f",56,576,1,200,33,21,27,"food_drink"
"869ea93586ecd74a64e5aafcad1036a9",35,378,1,600,28,15,20,"food_drink"
"0776155007ad20447a0b0f91d4aad644",42,2263,6,1000,28,13,13,"food_drink"
"37eab73447adec63c01f2cebf76afd9e",50,3687,7,300,30,15,15,"food_drink"
"d63ea2f93da22fc874867433a01aac27",48,841,1,1900,16,33,18,"food_drink"
"880e2c1d5c4b60504e6b0a0c8bf89a1f",43,736,3,1950,35,12,23,"food_drink"
"42eb5329dd0ee3d76d135ce04c84451b",54,920,1,1150,16,17,11,"food_drink"
"7cc23d3a974be45542366d35eaec7965",55,962,1,1250,17,17,17,"food_drink"
"fda6a1e500285956c972ec2fe10f4923",52,1412,1,1850,20,20,20,"food_drink"
"dbd8772797eb43bcb24b0f7fba3b8839",53,402,2,10800,45,25,26,"food_drink"
"362917ef32b7ab0660f1d2b1111396ac",55,965,1,900,16,2,11,"food_drink"
"e7be446dd7fa8f165244b63de1b85802",23,279,1,1150,18,18,18,"food_drink"
"a2307a34b16eb2201ce5206cbd7f9bc7",54,695,1,700,25,25,25,"food_drink"
"07bb371fdfa423305dd7e7d94cf36565",41,342,1,250,16,2,12,"food_drink"
"69f0f3b1c89b4e731e0b691e00bfbded",45,1796,4,300,16,16,16,"food_drink"
"63a2b46cda9cae69cbbb77dc2b0165ac",34,1275,2,1100,25,6,25,"food_drink"
"e1b7112bffdaa21bd9b003dc3238f58f",53,314,1,600,24,8,23,"food_drink"
"f27782bee7a6ae6435305c7b46e5f44b",50,1984,1,550,20,20,20,"food_drink"
"d3fe643e9d50205d020e32aaf5eea00d",58,965,1,1800,17,17,17,"food_drink"
"c432f90fa332fd2e5091f2ac2d226aad",56,757,4,10500,35,30,27,"food_drink"
"3394bd1ad2fa9278c9da6724fbe73c60",36,352,3,650,16,23,17,"food_drink"
"f70dd37d94cc7026ca198b9d7574c7bc",43,731,2,1350,28,15,20,"food_drink"
"6991f4d85b6d2e9c27895e25c2485b52",57,3587,4,4550,30,15,26,"food_drink"
"5eae236b07a8c5db6299c7f9c3ba2e6e",60,567,1,200,33,21,27,"food_drink"
"be3d221fd98c71e1a8dabefc71e4101d",59,1461,1,400,28,15,20,"food_drink"
"3eb3d83d082ce242d4eae1f57e62640d",30,355,2,300,25,9,18,"food_drink"
"26f03967104b76d4ebd5e43a1b3c1e18",41,465,1,600,33,21,27,"food_drink"
"1b28df0b54809d40f2bd2f2218c601a2",59,3762,1,875,23,17,17,"food_drink"
"1d994f3116c393f22021e72f17ab5af5",58,798,1,200,31,15,26,"food_drink"
"d9a51912372ce82133d91ad4dccba508",52,708,1,500,28,15,20,"food_drink"
"aef3e3251c02ee19b8f193f158a49a53",60,672,7,800,17,17,17,"food_drink"
"740867136b4bf7605e36c5913b91eb99",59,514,2,2800,27,19,24,"food_drink"
"488edbf15626ebb4b69d6c4600602ba3",40,907,1,472,19,16,16,"food_drink"
"10f2fea49b203930a1f4c0a3a892d960",50,568,1,400,33,21,27,"food_drink"
"5ef5cddf0ad1c5140b02c2255109c31a",40,862,1,1150,24,8,23,"food_drink"
"b35c3c655d950af9dcd75516879eba67",30,407,1,2750,21,22,12,"food_drink"
"06353656886de747a549351f1ec7fa9b",44,664,1,650,16,10,11,"food_drink"
"86beb8b7298c47a334e6deb8545b2f06",29,205,1,350,16,2,12,"food_drink"
"4ff6d690de7f98ab534ab22881bf5819",57,986,1,1200,19,12,12,"food_drink"
"3ae810052cf18d30232367f0b45e284c",28,371,2,1200,23,12,19,"food_drink"
"27608e96f596b295c68b1d7ed7e639ce",52,747,1,550,28,15,20,"food_drink"
"6811d911869c98aed7eadc3478bebe72",57,2298,1,500,20,20,20,"food_drink"
"a54244559e62c8ef2939e52189d65d4c",60,1088,8,1300,19,12,12,"food_drink"
"992197904e1d4f0bf3994652373188e4",29,3758,1,1100,24,21,16,"food_drink"
"4c19782230ac2c3708497b730b02abe7",25,360,1,50,16,3,11,"food_drink"
"7edfb4c96d69a75d28b973bdc2dbcfaf",28,350,2,250,20,11,15,"food_drink"
"84f5c4f480ad6c9998d6a6860f1a2e41",56,963,1,1100,16,15,15,"food_drink"
"79d7da51bcd8d7722a6db7b3c285e218",59,1562,1,500,20,20,20,"food_drink"
"54b755678728b84472c2b654ac4de777",26,2427,1,200,20,12,15,"food_drink"
"63de579e88d8a9982d2e279eba56e753",49,835,1,800,31,15,26,"food_drink"
"5b394e3d290882de22e0207c7027fdb5",17,563,1,400,20,8,16,"food_drink"
"90f97298579cd20412fdcc9b7a2d4b6b",31,502,1,475,20,16,13,"food_drink"
"575e0e0242a7a1900558645915d3d9f8",57,1551,1,300,20,20,20,"food_drink"
"de809d6e8b2d61c8d82566466916d5ba",51,678,2,1200,30,21,21,"food_drink"
"7ff7661b8c3f488705fcf1f407d04329",55,3755,7,500,28,15,15,"food_drink"
"639a641dfdddb9367d030768148076b1",37,929,3,300,16,6,11,"food_drink"
"50a64d6b01398039142e3e0be6f2fca4",50,856,1,5900,40,10,30,"art"
"5299e0a0336b5839e2a0ccb0d3d589d1",42,198,1,650,50,6,35,"art"
"058755c380722a806fc5440093c2c5bf",50,923,2,1947,98,6,44,"art"
"3aa071139cb16b67ca9e5dea641aaa2f",44,276,1,1000,30,18,20,"art"
"f3c5f7d4a6b87b94a7ce5fa1c1b2ca10",53,927,1,200,16,5,11,"art"
"3262a0950995f2a891ec1fdfe6f5a133",59,216,1,500,62,12,50,"art"
"dc7e6c809b71f69934396f954df16806",47,422,7,500,25,8,15,"art"
"4673c83bbad0277b120ac3251d4b3633",50,472,1,500,16,17,14,"art"
"d62ed986672bfab13938e62e6badec55",62,220,1,2800,70,12,30,"art"
"d727c091d4ce7f59b5e690ce0b58b1ea",54,798,1,1100,22,16,21,"art"
"2ea654ee9e83b7622ce3ac79ce772970",57,851,1,1500,65,6,48,"art"
"49ab5384de586d3e4efd9072c43d50be",24,372,1,2685,57,23,25,"art"
"48633254f8b7b802b1ca8c4f4dcf3e33",53,638,10,200,25,5,33,"art"
"4fe644d766c7566dbc46fb851363cb3b",48,1232,1,1700,65,6,50,"art"
"538948f39142c635d3132846c820e211",58,1073,7,500,20,7,16,"art"
"be9bf7ba4c99709e44c413d4ffe9dfa4",45,757,2,275,27,17,21,"art"
"a6579aa8d097e9c13d6749ecf4a2117f",35,638,6,400,16,62,16,"art"
"824c6ddf72c012b701b3e83b258581d4",49,423,1,100,16,5,11,"art"
"159065411d54fa1f2232d949976883db",59,683,3,600,27,10,22,"art"
"58f036d3b8f12d9378518f902fb4e226",58,374,3,1650,41,10,13,"art"
"a556987a68ce3f7240da198c00f0305d",55,351,2,1650,46,10,11,"art"
"d3d10495159bcc41173e3d26a273529a",60,218,6,1200,39,12,12,"art"
"f20135d2d37130bbd6a2a9fa2e501e8f",28,1134,1,350,16,6,11,"art"
"986700c98805af229ab7ad51b95fa356",55,275,1,2200,35,28,26,"art"
"cbaff83e2c00a2b731d27276bbf52082",59,1431,6,7900,70,15,70,"art"
"986c47683f9e701e110a0cc525dfac87",53,213,3,490,33,5,17,"art"
"4c6aedb2bfbcb47f59db757dfc22c607",55,2021,7,700,19,5,20,"art"
"4b90d2bd65c83d4ad8a370c2cd3f277c",46,295,1,1200,41,3,33,"art"
"23aaf24124ff41ebd81163d245aae6f3",59,332,2,350,16,11,12,"art"
"5304ff3fa35856a156e1170a6022d34d",27,59,2,100,20,20,11,"art"
"c7ef7595086f6654865bdd390d924f73",35,1299,1,2350,20,14,30,"art"
"749d3e9ac43e769ce6245a97630f6543",54,902,2,1150,16,6,11,"art"
"2338a290bd0581fde51b770baeddb0a6",49,571,1,4800,40,10,30,"art"
"bf359473d58e90d8fc29bf8f3d282ea9",37,606,1,350,28,4,22,"art"
"48e5af4df590c37a05a29b5c86e020e1",51,473,1,150,20,4,20,"art"
"c36f564e4c2baa5ed9d7bfa1a111c29c",20,604,1,1025,21,9,21,"arts_and_craftmanship"
"1cf657de01c2b973b898ad0ac9073ac7",41,130,1,210,25,10,15,"arts_and_craftmanship"
"08c5c3d471845327e913b52aded0caf3",34,155,1,250,16,7,11,"arts_and_craftmanship"
"ec90895370885d025efeb8e72e7fa699",57,283,1,1200,20,20,16,"arts_and_craftmanship"
"99b4596b82b6f75d453160c9c75e01f4",36,378,1,1550,23,17,18,"party_supplies"
"4a7056788ce9287c76ade358f2e2572a",56,186,6,100,16,6,11,"party_supplies"
"0fca2bf7fe83539c429a0357389333e7",53,332,1,2100,30,35,30,"party_supplies"
"137464dece73fa2dbb54658dbc7aae58",53,320,1,1250,35,25,25,"party_supplies"
"dfac3332b44b66ff743d656e76231b95",47,375,3,1100,42,9,42,"christmas_supplies"
"3517fcc20a0c09017c875560c2d150f7",37,212,1,500,16,10,11,"christmas_supplies"
"8b981f23717c781b041257c7be1564de",54,1668,3,7950,46,7,46,"christmas_supplies"
"00bc6e6d4ceb98ec7ed058b0a243a8b9",34,249,1,200,16,11,11,"christmas_supplies"
"91383f0d77401048b6450f83ecb5b3ac",36,285,1,2000,16,30,16,"christmas_supplies"
"26e1c314c9e92fb104346d515517d99f",55,686,2,350,30,10,20,"christmas_supplies"
"40e8b425d1a26e2d9cb77363523e05ce",38,1324,1,4500,50,8,45,"christmas_supplies"
"19fee5d5b066841b45bc3e97832fa654",27,341,1,200,16,48,11,"christmas_supplies"
"fdcf45aa23bb8312ecc0027d6e1ef1c4",39,258,1,250,16,12,11,"christmas_supplies"
"2f70d0014f90ab5fc20eb80dbb96e5dc",36,272,1,750,16,19,14,"christmas_supplies"
"dd72d83b749ec911396ef3337e00b633",46,507,5,600,20,15,15,"christmas_supplies"
"b35e00b01694e1efa3577d14965f2205",55,360,3,850,30,11,20,"christmas_supplies"
"1e5b160bf180293380b0d3e68bcc7ead",40,243,1,200,16,8,11,"christmas_supplies"
"c004dec0cc1cd5218c27fa8f338d42f3",51,392,7,1950,40,80,11,"christmas_supplies"
"ab44178963b4bf809adc477810f9175d",52,198,4,50,16,6,11,"christmas_supplies"
"bbdffddcafb9e370fbc41a538d738318",30,244,1,200,16,8,11,"christmas_supplies"
"ac50a885bf3b6a817bf6a0a2f1e27af4",37,170,1,200,16,32,11,"christmas_supplies"
"054f9a8859dc532322504741c66d799f",56,688,8,600,30,11,20,"christmas_supplies"
"f3ccdb9f9c7f31e0efd626e9110b85f5",59,300,9,1800,40,35,40,"christmas_supplies"
"76b0e52fe4e79cfbe9b414b841373330",56,660,8,250,25,16,20,"christmas_supplies"
"6516d379bfcdbdc245518a279cee2a7c",60,301,9,3000,40,35,40,"christmas_supplies"
"d05f6ff12fe26d165338b1d182b4a7f3",39,200,2,400,16,9,11,"christmas_supplies"
"d8bbf40bf0360a6149a9ae34eb0ac7e1",44,253,1,600,16,20,11,"christmas_supplies"
"c88eaf4f6701e48546ea2e580ef76c62",60,303,9,14100,40,45,40,"christmas_supplies"
"3742d0dd9b1cd0af83916e7be979d830",52,383,4,1450,42,14,22,"christmas_supplies"
"350d1a07ddb929118c6855106d206035",45,253,1,200,16,9,11,"christmas_supplies"
"347a1dbb9334cebdd3f2c43bc1b34455",36,252,1,1800,46,27,29,"christmas_supplies"
"9defbbbbd3c270b0c41dfcbf70582147",59,573,8,3750,41,16,39,"christmas_supplies"
"b1936fadca97f61a4913e6798d50aa27",36,1245,1,4450,50,8,45,"christmas_supplies"
"d2e79198b51c33512670c0a652c1a27f",46,1030,1,2850,30,12,40,"christmas_supplies"
"95b5840b09c3e9adc94a0f6bc783f4ef",54,265,1,300,16,15,11,"christmas_supplies"
"a040c0e88511c8c58db44fd6831cdb45",20,283,1,250,16,3,11,"christmas_supplies"
"3178ee7d2c17d1caef4955dd9bad16f6",60,188,1,150,16,37,11,"christmas_supplies"
"ffc0b406806006602c5853b00ab5f7fd",39,749,1,4450,50,8,45,"christmas_supplies"
"13da041c237c948a2d42da8bcd7c329d",38,748,1,4650,50,8,45,"christmas_supplies"
"2d771944d4a7dc7d95d974cfe4be96ff",46,411,1,55,30,2,21,"christmas_supplies"
"f59871b3d9da4c64cbe41ad3dd04dc14",60,565,3,400,17,21,11,"christmas_supplies"
"ec4e57291d338e3c8aa867c384d1be68",32,247,1,450,16,20,11,"christmas_supplies"
"95d9994fadaf3720792cb0f1db17f782",60,298,9,1000,35,30,35,"christmas_supplies"
"1dfcfcbfaae79f18090fc9e3c336b62c",44,227,3,300,16,6,17,"christmas_supplies"
"1b46816aa838ce9ae97feda7b2f51f26",17,322,2,200,30,2,21,"christmas_supplies"
"856d9d588dc3c29333a36027f22e2091",39,94,1,800,16,16,16,"christmas_supplies"
"59166cb25207e97d04951200086920b3",55,1506,2,150,20,10,11,"audio"
"613a1da144b1ad65ab2cba8d417ad350",54,1735,1,1300,25,15,30,"audio"
"0ee300fb7a6715fdac77e6fb6e7e37f3",57,1024,1,400,25,15,23,"audio"
"92ee7c820f6eb0c532ecd94508e3cc29",37,329,4,200,18,6,16,"audio"
"e0884eed28311e4365d93a89ac57eafb",47,423,1,250,27,5,20,"audio"
"a7aa202585393c58cb1351de084b4dbc",60,882,1,400,21,7,11,"audio"
"3b7929cc079c14493fb6fb3373dbc1e1",21,68,3,1075,40,20,30,"audio"
"687ada1b5c787ece71130a5ec0123567",59,214,6,2300,20,20,32,"audio"
"6fab1c39de4cee5cf3a849f7f72cba57",60,504,2,300,27,5,20,"audio"
"6eb70dfb283dc3f645ed7b03c990dc72",31,251,2,343,19,11,13,"audio"
"13db47eae724e2848e12b71a617a3a41",34,468,1,425,17,11,14,"audio"
"88f2c10f7a675e2f7e5a00ec528d973a",33,346,1,1000,20,16,16,"audio"
"ec2f95440d5e5376e3a25c8106f5ba76",27,1479,2,300,20,16,16,"audio"
"be82fc52186e82fccb9c7b949f60d407",60,908,2,900,20,8,11,"audio"
"dca8cbb1c9d8a2db0fbc0c36b8d1a7bc",42,671,5,200,16,2,11,"audio"
"8dff5399c7a5552ee041c8bb465e5288",48,351,2,100,19,4,11,"audio"
"25830cd3f917e51e463f79c181a670ae",59,477,1,300,17,17,17,"audio"
"636f5be2cd52da4047bb73b7b15329e3",31,315,6,300,16,9,11,"audio"
"abe90b94fe9bb697a9f2bd7e25029c2f",44,885,1,1360,28,21,24,"audio"
"96f027a4749058d508f6c1bda657c79d",45,442,1,483,18,12,13,"audio"
"e5b5b0c0e066fb53258fce3eace774f7",36,310,1,290,19,16,18,"audio"
"ed9b924bdbd0fd22c60aba6dddfbb6e5",60,1046,1,675,22,9,16,"audio"
"ad1738621558e97cb99a5c6e6513fb48",25,788,2,500,21,10,24,"audio"
"eea25b95f84281753d8013ad279889d5",57,1048,1,1150,31,18,19,"audio"
"53090d94b00b6613c77382b7f4617d2b",47,421,1,250,27,5,20,"audio"
"9bfc55df037ce3ac01bfd84781adf7e5",45,1654,3,530,19,14,15,"audio"
"d7df1ad2d9580659326819afde99ba71",48,477,1,200,25,15,20,"audio"
"487ff90293c6b5484d060de3fe409557",43,676,3,325,22,22,22,"audio"
"db5efde3ad0cc579b130d71c4b2db522",40,232,1,6663,17,11,13,"audio"
"7c4a8bec217df1de0df2b5aaf8175b65",58,675,2,167,16,4,11,"audio"
"401b5632c06c51319df083f1245a96ca",51,207,1,300,16,20,16,"audio"
"fdc52cfa6830ea1f04bc31c0939b2357",52,1125,1,300,16,16,16,"audio"
"8d8426c5adc78437359a25c285959192",17,265,1,300,16,4,12,"audio"
"fb10a064e6f5151ebfffc589e166c917",44,236,1,1742,17,11,17,"audio"
"f124ba93c961061c1358bab8b90730ba",50,447,1,150,27,5,20,"audio"
"a59fb60fddcc72a9878b7ed5cb69d8e4",48,424,1,200,27,5,20,"audio"
"17ad6786808ab3fedfb261a70a5932d6",38,2916,1,620,23,15,17,"audio"
"53e8156b28f9080cc0865b55d1bed9fe",58,1235,2,900,40,8,30,"audio"
"e6b6e13cf71449a457269f425b89dc74",38,2887,1,588,19,14,17,"audio"
"f753d7048454e22b4761ef5e5a3ec2cc",36,707,1,431,19,12,18,"audio"
"9dd7fca4adb5b63da29c93f3d47a66c2",55,1443,1,400,20,8,16,"audio"
"39dc16aaca25e1f0ab28d16d72703082",60,780,1,600,16,10,24,"audio"
"c1c27de6591a9eaeb865eed7b905b046",41,372,4,517,27,22,25,"audio"
"32bcebd1122da0e45ac11739dd7a1cad",49,83,1,11800,48,22,48,"auto"
"b140cc13107904067b325ad095709d6b",57,601,5,11175,27,16,17,"auto"
"0b9eab47f340cb0354b04f84b95940f9",50,701,1,100,32,2,24,"auto"
"9a20e324f5e442222a85d335f77b39c3",50,625,3,550,33,27,26,"auto"
"9d324850c39429150aa7f4524983e167",58,650,1,27100,50,50,50,"auto"
"3cf8d7db7dbaeb28f077151adfc59340",54,905,1,717,24,14,21,"auto"
"738e3bc419b014194ec3587e2321bf61",48,334,1,500,30,30,30,"auto"
"1f49bc80950157ddb33dfad044f20be7",58,717,5,1100,23,7,38,"auto"
"c201a862c6018d402222594d5229c613",56,916,1,1675,35,8,23,"auto"
"213df31f080d32e31dff225207c354a3",45,292,3,150,16,5,11,"auto"
"24ef70f010919148b022e66b05862778",60,824,5,1100,18,15,15,"auto"
"060890b1af8cc031e9dde49cf544f884",57,662,1,2900,61,8,61,"auto"
"f81a1edab43cbf08299503316612bacf",59,555,1,8400,61,13,61,"auto"
"629e019a6f298a83aeecc7877964f935",57,1166,5,1750,30,30,30,"auto"
"8b87bdca52ab6d4c79661a4dbcf903c8",60,670,4,350,16,6,16,"auto"
"e5e0c45564bc74a85e8e51968fdefa8d",56,840,1,1800,45,20,45,"auto"
"6a459bd9608a1b384d6cb4c79aaa83e2",36,841,5,22200,61,61,41,"auto"
"e2d13b6570070d36a9996b74e3eb190f",60,498,1,250,16,9,16,"auto"
"92e22f96f92bc2dc5d6504f301010a34",60,863,1,1500,40,14,40,"auto"
"2e6c12b01b91073e4cad9732887edc57",54,1291,2,153,16,6,17,"auto"
"cb3eca8ad99e38bf5287d408960623d9",57,2304,5,250,16,6,15,"auto"
"a819714dd23a6ac18b1be2b13686017b",54,393,2,100,17,17,17,"auto"
"b6e47cacea0b2e89b721529d6d8683e7",55,721,3,950,22,8,14,"auto"
"adafff46869180550d3c4741c60841f2",55,655,5,2400,30,28,30,"auto"
"fc9ccf6863eb3c05fbaa46d4382540e7",46,458,1,400,40,20,30,"auto"
"cae8c962ad47ff05a508e6fec4146e1a",59,162,1,50,16,15,16,"auto"
"b316b3aedd7d2e26569a318e2611e6c0",63,1541,4,2300,20,10,20,"auto"
"c896aa5b12fcfbb05d648eab1240f407",47,157,1,450,48,8,14,"auto"
"e0f97314f0755610ae37a2da08937104",53,895,3,350,33,12,20,"auto"
"2bd3e6ee15d713b34654f04fe0375e17",60,1377,7,325,20,12,16,"auto"
"5ec1f2abfcd415baea5b1729d4cc5f83",55,1034,3,3550,21,16,16,"auto"
"dbb4b4f90abe510323ed00da4314b2c3",39,626,3,5250,32,16,26,"auto"
"f510b05e475dddcb832edeebeea10f20",63,140,2,950,33,16,20,"auto"
"ad88bf1ad347307438c9c852084a06ed",45,136,1,100,18,4,11,"auto"
"b812780d29a366e40afd8d49b17b6d01",48,749,1,800,41,45,11,"auto"
"56cd306d7a869c029cd2f165e4dc928e",58,341,3,150,24,2,17,"auto"
"b28a05b86542471543370c2399f04fd3",52,303,1,150,16,8,11,"auto"
"4fcb3d9a5f4871e8362dfedbdb02b064",53,603,1,5950,65,11,65,"auto"
"c574e4df03e0bc22eeab4fbf51af50db",58,490,5,100,23,2,17,"auto"
"4632bc49b300378ed4f1d48f424d414e",33,513,2,795,30,15,26,"auto"
